Straight,Straight,Adapter,Straight,Bend,Straight,Bend,Honeycomb,Honeycomb,Straight,Contraction,Straight,Straight,Straight,Bend,Straight,Adapter,Straight,Bend,Straight
pipe,pipe,C2R,ducted,ducted,ducted,ducted,ducted,ducted,ducted,ducted,ducted,ducted,ducted,ducted,ducted,R2C,pipe,pipe,pipe
8.3,7.2,6.5,2.835,0,5.16,0,0.8,0.8,2.035,7.7,11,18.5,1.9,0,1.2,4,1.25,0,12.55
3.775,4.76,4.76,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,1.6,1.6,3.2,3.2,3.2,3.2,3.2,3.2,3.2
4.76,4.76,4.23,4.23,0,4.23,0,0,0,4.23,1.6,1.6,3.2,3.2,0,3.2,3.9,3.2,0,3.2
0,0,0,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,2.79,2.8,3.2,3.2,3.2,3.2,0,0,0
0,0,4.23,4.23,0,4.23,0,0,0,4.23,2.79,2.79,3.2,3.2,0,3.2,0,0,0,0
11.605,11.605,11.605,11.6,11.6,9.43,4.27,2.115,2.115,2.115,2.115,0.8,0.85,1.6,1.6,3.2,4.4,8.4,9.65,11.6
11.605,11.605,11.605,11.6,9.43,4.27,2.115,2.115,2.115,2.115,0.8,0.8,1.6,1.6,3.2,4.4,8.4,9.65,11.6,11.6
0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,thin_rounded,0,thin_rounded,0.4,0.4,0,0,0,0,0,thin_rounded,0,0,0,profiled_rounded_normal,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8.3,15.5,22,24.835,0,5.16,0.03,0.02,1.6,0,0,14,29.5,31.4,0,1.2,5.2,6.45,0
