temp	pres drop(Pa) 	Length(m)	mfr(liter/hr) Predicted loss (Pa)
19.584	24.741	7.76	359.04  
19.524	27.836	7.76	447.07
19.51	32.007	7.76	556.25  55.6094
19.466	36.206	7.76	670.24
19.395	39.397	7.76	764.97
19.402	132.28	7.76	880.1   121.6274
19.403	151.56	7.76	961.38
19.433	164.39	7.76	1005.6
19.495	192.65	7.76	1073.4
19.514	219.13	7.76	1132.3
19.521	238.09	7.76	1191.7  204.732
19.543	260.55	7.76	1262.3
19.599	284.14	7.76	1331.7  248.3384
19.628	308.08	7.76	1401.8
19.634	333.01	7.76	1470    294.7202
19.638	365.14	7.76	1555.8
19.645	402.69	7.76	1651.9  
19.659	438.49	7.76	1740.4  395.2201
19.684	506.37	7.76	1900.6
19.713	551.18	7.76	1998.7
19.724	593.22	7.76	2089    543.362
19.748	677.8	7.76	2262.3
19.756	821.88	7.76	2535.2  762.4739
