Straight,Adapter,Straight,Bend,Honeycomb,Contraction,Straight,Straight,Bend,Straight,,,,,,,,,,,,,,Straight,Straight,Bend,,,Bend,Straight,Bend
pipe,C2R,ducted,ducted,ducted,ducted,ducted,ducted,ducted,ducted,,,,,,,,,,,,,,pipe,pipe,pipe,,,ducted,ducted,ducted
2.588,0.615,0.124,0,0.203,0.75,0.67,2.623,0,3.448,,,,,,,,,,,,,,2.597,0.82,0.82,,,0,3.448,0
0.84,0.84,0.736,0.736,0.736,0.736,0.3,0.3,0.3,0.3,,,,,,,,,,,,,,0.48,0.84,0.82,,,0.6,0.3,0.743
0.84,0.736,0.736,0,0,0.3,0.3,0.3,0,0.743,,,,,,,,,,,,,,0.84,0.84,0,,,0,0.743,0
0,0,0.736,0.736,0.736,0.736,0.3,0.3,0.6,0.6,,,,,,,,,,,,,,0,0,0,,,0.6,0.6,0.743
0,0.736,0.736,0,0,0.3,0.3,0.6,0,0.743,,,,,,,,,,,,,,0,0,0,,,0,0.743,0
4.15,1.562,0.947,0.823,0.368,0.368,0.368,0.368,0.368,0.528,,,,,,,,,,,,,,4.57,4.57,4.57,,,0.368,0.528,3.796
1.562,0.947,0.823,0.368,0.368,0.368,0.368,0.368,0.528,3.796,,,,,,,,,,,,,,4.57,4.57,4.15,,,0.528,3.796,4.57
0,0,0,0,0.001,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,,,0,0,0
0,0,0,0,0.05,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,,,0,0,0
0,0,0,thin_rounded,0.16,0,0,0,thin_rounded,0,,,,,,,,,,,,,,0,0,profiled_rounded_normal,,,thin_rounded,0,thin_rounded
0,0,0,0,0.07,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,,,0,0,0
0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,2.597,3.437,,,4.44,3.08,4.44
0,2.588,3.203,3.327,0,0.203,0.95,3.08,4.44,3.08,,,,,,,,,,,,,,,,,,,,,
