Honeycomb,Straight,Contraction,,,,,,,,,,,,,,,,,,,,,Adapter,Straight,Bend,Straight,Bend,Honeycomb,Honeycomb,Straight,Contraction,Straight,Straight,Straight,Straight,Bend,Straight,Adapter,Straight,Bend,Straight
ducted,ducted,ducted,,,,,,,,,,,,,,,,,,,,,C2R,ducted,ducted,ducted,ducted,ducted,ducted,ducted,ducted,ducted,ducted,ducted,ducted,ducted,ducted,R2C,pipe,pipe,pipe
0.8509,2.9922,4.572,,,,,,,,,,,,,,,,,,,,,6.5,2.835,0,5.16,0,0.8,0.8,2.035,7.7,11,3,15.5,1.9,0,1.2,4,1.25,0,12.55
3.6576,3.6576,3.6576,,,,,,,,,,,,,,,,,,,,,4.76,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,1.6,1.6,1.7,3.2,3.2,3.2,3.2,3.2,3.2,3.2
0,3.6576,1.2192,,,,,,,,,,,,,,,,,,,,,4.23,4.23,0,4.23,0,0,0,4.23,1.6,1.6,1.7,3.2,3.2,0,3.2,3.9,3.2,0,3.2
3.6576,3.6576,3.6576,,,,,,,,,,,,,,,,,,,,,0,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,1.6,1.6,1.7,3.2,3.2,3.2,3.2,0,0,0
0,3.6576,1.2192,,,,,,,,,,,,,,,,,,,,,4.23,4.23,0,4.23,0,0,0,4.23,1.6,1.6,1.7,3.2,3.2,0,3.2,0,0,0,0
1.8,1.8,1.8,,,,,,,,,,,,,,,,,,,,,11.6,11.6,11.6,9.43,4.27,2.115,2.115,2.115,2.115,0.8,0.8,0.85,1.6,1.6,3.2,4.4,8.4,9.65,11.6
1.8,1.8,1.8,,,,,,,,,,,,,,,,,,,,,11.6,11.6,9.43,4.27,2.115,2.115,2.115,2.115,0.8,0.8,0.85,1.6,1.6,3.2,4.4,8.4,9.65,11.6,11.6
Rod dia,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
0.0558,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0
0.4572,0,0,,,,,,,,,,,,,,,,,,,,,0,0,thin_rounded,0,thin_rounded,0.4,0.4,0,0,0,0,0,0,thin_rounded,0,0,0,profiled_rounded_normal,0
0.1016,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2.9922,,,,,,,,,,,,,,,,,,,,,15.5,22,24.835,0,5.16,0.03,0.02,1.6,0,0,11,14,29.5,31.4,0,1.2,5.2,6.45,0
